"","Belva_mean","Belva_std","Vemu_mean","Vemu_std","Cobi_mean","Cobi_std"
"BRAF_mut",0.273646875,0.219661894127896,0.217484375,0.189741709172224,0.1043171875,0.107651574767391
"NRAS_mut",0.31745,0.372614174895875,0.993125,0.091748074457542,0.0205125,0.0142795526890726
"WT",0.598242857142857,0.296827468726323,0.6915,0.372640112351493,0.237542857142857,0.159784535725905
