"","mean","median","std"
"BRAF_mut",0.167245500081861,0.157785114646843,0.0771876716212506
"NRAS_mut",0.327737218608221,0.278360516108869,0.133393146327174
"WT",0.324261780571378,0.305328224953479,0.129561435687973
