"","mean","median","std"
"BRAF_mut",0.0994932518610052,0.100600045689452,0.0640147035424464
"NRAS_mut",0.273595760166407,0.250698667474313,0.117018542392778
"WT",0.251013512181132,0.241439806245794,0.117788063708684
