"","mean","median","std"
"BRAF_mut",0.175803344681168,0.14197103319432,0.113238971464423
"NRAS_mut",0.496819733347919,0.431022125946158,0.269365371556064
"WT",0.315912488663422,0.300996028556418,0.109623237804944
