"","mean","median","std"
"BRAF_mut",0.237994388705158,0.211629150037174,0.109323861110535
"NRAS_mut",0.560659603005347,0.487182955041983,0.269780432999673
"WT",0.386038335062723,0.351038919298276,0.131756722755866
