time,tBRAF,tCRAF,tRAS,tMEK,tERK,tDUSP,tEGFR,tGRB2,tSPRY,tSOS1,pERK,pS1134SOS1,pMEK,tEGF,SOS1_active,SOS1_signaling_competent,GRB2_bound_by_SPRY,uS1134SOS1,RAS_gtp,RAS_gdp,active_RAF_monomers,inhibited_RAF_monomers,active_RAF_dimers,inhibited_RAF_dimers,active_pMEK,inhibited_pMEK,uMEK,uERK,tRAFi,tMEKi,tBRAF_obs,tCRAF_obs,tRAS_obs,tMEK_obs,tDUSP_obs,tEGFR_obs,tGRB2_obs,tSPRY_obs,tSOS1_obs,tERK_obs,pERK_obs,pS1134SOS1_obs,pMEK_obs,pMEK_IF_obs,pERK_IF_obs,Cell_line,Parameter_set,Drug A,Drug B,Concentration A (uM),Concentration B (uM),Time A (h),Time B (h),EGF (ng/mL),EGF total duration (h)
-24.0,0.0018388331614994043,0.020942398116327997,0.07541912736356027,0.1142211124933098,0.08459643657474542,0.015013594822341006,0.036550224596003496,0.07471382260146986,0.26751120126607375,0.010568201488759532,0.02005156966707654,0.007537924782296467,0.055456060017153974,6.23060667414753e-22,4.0812670716289376e-25,5.905534214985783e-05,0.06773402010638306,0.0030302767064630657,5.2501386863940024e-23,0.07541912736356027,0.0018388331614994043,7.153089948935801e-20,-1.0188980490741703e-38,4.394342061950147e-54,0.055456060017153974,0.0,0.058765052476155794,0.06454486690766888,1.0,0.0,1107.3712132705225,12611.806930848603,45418.46009797276,68785.56171985061,9041.398133374472,22011.059732674716,44993.71564237209,161099.0108900986,6364.319694535146,50945.164884752914,0.23702617366583664,0.7132646733045254,0.48551497010154027,0.9415920493724427,0.9721069610884445,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-23.75,0.0018388331062857014,0.0209423980010014,0.07541912736356027,0.11422111235716528,0.08459643622854181,0.014671396349744816,0.035973190532350034,0.07471382258606302,0.2519918132735916,0.010568201488762644,0.00028397255441679135,0.0006586373063546033,0.012821215272829313,-7.321110727784614e-27,-1.3077062291638936e-29,0.00016832110063978717,0.06713266681013656,0.009909564182408041,1.126921175374983e-23,0.07541912736356027,6.865621183173744e-05,0.0017701768944539636,3.0241205949867044e-44,1.0347895196140491e-43,0.012821215272829313,0.0,0.10139989708433596,0.08431246367412501,1.0219306519963594,0.0,1107.3711800200533,12611.806861397305,45418.46009797276,68785.56163786247,8835.321396391348,21663.56169721112,44993.715633093874,151753.01699012046,6364.31969453702,50945.16467626422,0.0033567909840743677,0.06232255384749656,0.11224908432635324,0.2447236332206142,0.0841087214400574,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-23.5,0.0018388331062857883,0.020942398001001818,0.07541912736356027,0.1142211123571693,0.08459643622852303,0.014336139493053866,0.035407196102813135,0.07471382258176876,0.2373061844461952,0.01056820148876394,0.00028994263746023505,0.00039625789432585096,0.012821215272379574,-7.204405677324943e-27,-1.365355742288066e-29,0.0001847940767157612,0.06657024777778398,0.010171943594438088,2.3454459689549358e-24,0.07541912736356027,6.865621183174094e-05,0.0017701768944540473,1.3098458393577188e-45,4.480810734852585e-45,0.012821215272379574,0.0,0.10139989708478972,0.0843064935910628,1.0219306519963596,0.0,1107.3711800201058,12611.806861397556,45418.46009797276,68785.56163786488,8633.42499821654,21322.711884806413,44993.71563050781,142909.124595351,6364.3196945377995,50945.16467625291,0.0034273623143769773,0.037495300855793716,0.11224908432241185,0.24472363321325585,0.08437690898075763,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-23.25,0.0018388331062852762,0.020942398001003497,0.07541912736356027,0.11422111235721331,0.0845964362284229,0.014009650662326944,0.03485535307668541,0.07471382257533501,0.22349437099285702,0.010568201488763503,0.0002960268120618773,0.00039331840467161905,0.012821215272377902,-7.088865446023655e-27,-9.875712608155477e-30,0.000198262949415385,0.06596751630180603,0.010174883084091884,4.872047264619687e-25,0.07541912736356027,6.865621183172253e-05,0.0017701768944535536,4.18081083970183e-47,3.661843034288208e-49,0.012821215272377902,0.0,0.10139989708483542,0.08430040941636102,1.0219306519963602,0.0,1107.3711800197973,12611.806861398567,45418.46009797276,68785.56163789138,8436.808828696008,20990.38424672986,44993.71562663331,134591.45611866456,6364.319694537537,50945.164676192624,0.0034992823014738006,0.037217156115901984,0.11224908432235395,0.24472363321314772,0.08465022173232377,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-23.0,0.001838833106285469,0.02094239800100387,0.07541912736356027,0.11422111235720518,0.08459643622843782,0.013691705285630929,0.03431731541918421,0.07471382269570521,0.21050475331688778,0.010568201488760118,0.00030222609205099124,0.0004003844447136022,0.012821215272379626,-6.981383876484332e-27,-1.1325452767660189e-29,0.00021255727628414115,0.06531800362856005,0.010167817044046517,1.0006984524529615e-25,0.07541912736356027,6.865621183172999e-05,0.0017701768944537385,2.832588201547433e-46,4.011931787036625e-45,0.012821215272379626,0.0,0.10139989708482557,0.08429421013638683,1.0219306519963622,0.0,1107.3711800199133,12611.806861398793,45418.46009797276,68785.5616378865,8245.337647450544,20666.370395964568,44993.715699121945,126768.9255123375,6364.3196945354985,50945.1646762016,0.0035725629296591496,0.037885769413029624,0.11224908432237704,0.24472363321319085,0.08492870523787376,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-22.75,0.001838833106285309,0.02094239800100378,0.07541912736356027,0.11422111235719393,0.08459643622840325,0.013382084611158848,0.03379274566814239,0.07471382266709249,0.19828876731291517,0.010568201488768877,0.00030854143781999707,0.00040797958206223624,0.012821215272377545,-6.875483343134225e-27,-4.4798574347864426e-29,0.0002278910191018408,0.06461831954776302,0.01016022190670664,1.9075619339149667e-26,0.07541912736356027,6.865621183172385e-05,0.0017701768944535848,5.069105650852357e-46,7.253365902438322e-45,0.012821215272377545,0.0,0.10139989708481639,0.08428789479058327,1.0219306519963613,0.0,1107.371180019817,12611.806861398738,45418.46009797276,68785.56163787971,8058.879719062845,20350.46710804337,44993.71568189096,119412.28678852621,6364.319694540773,50945.164676180786,0.003647215551574314,0.03860444773841675,0.11224908432236987,0.24472363321317747,0.08521240264009647,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-22.5,0.0018388331062852334,0.020942398001003792,0.07541912736356027,0.1142211123571868,0.08459643622843976,0.013080575555946538,0.03328131472072513,0.07471382266948494,0.18680072350487542,0.010568201488768322,0.0003149737525959635,0.0004157180015435253,0.012821215272377185,-6.771195544739755e-27,2.3131907778070075e-28,0.00024432648242782176,0.06386538001118135,0.010152483487224797,2.2560974735250215e-27,0.07541912736356027,6.8656211831721e-05,0.0017701768944535126,5.128303443436303e-45,7.314013617365782e-44,0.012821215272377185,0.0,0.1013998970848096,0.0842814624758438,1.0219306519963602,0.0,1107.3711800197716,12611.806861398743,45418.46009797276,68785.56163787542,7877.306721972529,20042.47619260668,44993.71568333172,112494.02510162003,6364.319694540439,50945.164676202774,0.003723250844106777,0.03933668391782105,0.11224908432237374,0.2447236332131847,0.0855013545136585,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-22.25,0.0018388331062853143,0.0209423980010038,0.07541912736356027,0.11422111235719756,0.0845964362284607,0.01278697055830629,0.032782701625303556,0.07471382267504853,0.17599763688888528,0.010568201488768504,0.0003215238786091903,0.0004235886671700909,0.012821215272378223,-6.670391771525559e-27,-2.0506648313327076e-28,0.0002619284912857191,0.06305556677390084,0.010144612821598413,1.9364394091950942e-26,0.07541912736356027,6.865621183172409e-05,0.0017701768944535902,1.544864395042132e-44,2.2092159178439285e-43,0.012821215272378223,0.0,0.10139989708481933,0.08427491234985152,1.0219306519963607,0.0,1107.3711800198203,12611.806861398747,45418.46009797276,68785.56163788191,7700.493659609626,19742.20436806588,44993.71568668219,105988.25427722356,6364.319694540549,50945.16467621538,0.0038006787631205234,0.04008143368767764,0.11224908432237224,0.24472363321318186,0.08579559869316868,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-22.0,0.0018388331062853499,0.020942398001003264,0.07541912736356027,0.11422111235719537,0.08459643622847024,0.012501067434073131,0.032296593378351876,0.07471382261886209,0.16583906683735428,0.010568201488766815,0.00032819259318192143,0.0004315898097859921,0.012821215272378164,-6.571089152596999e-27,-6.387637070001957e-27,0.000280727332487751,0.062186847281107016,0.010136611678980823,-4.8540230721081276e-26,0.07541912736356027,6.865621183172519e-05,0.0017701768944536247,-1.5925073898103604e-43,-2.2813598551523024e-42,0.012821215272378164,0.0,0.1013998970848172,0.08426824363528831,1.0219306519963605,0.0,1107.3711800198416,12611.806861398425,45418.46009797276,68785.56163788059,7528.318773824041,19449.463139291893,44993.71565284592,99870.62040015955,6364.319694539531,50945.164676221124,0.0038795084972086673,0.040838529644305024,0.11224908432237388,0.2447236332131849,0.0860951700974273,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-21.75,0.0018388331062854585,0.020942398001003334,0.07541912736356027,0.11422111235715517,0.08459643622843085,0.012222665034751482,0.03182267820284673,0.07471382262191252,0.15628619438105318,0.010568201488765474,0.00033498070702236835,0.0004397217817265314,0.01282121527237625,-6.465980196239339e-25,-1.5924789154992496e-27,0.000300782098616979,0.061255566146096584,0.010128479707038942,-9.096424200010397e-26,0.07541912736356027,6.865621183172926e-05,0.0017701768944537294,-9.606448803026557e-45,-1.3714753137099304e-43,0.01282121527237625,0.0,0.10139989708477891,0.08426145552140848,1.0219306519963611,0.0,1107.3711800199071,12611.806861398467,45418.46009797276,68785.56163785637,7360.660930160371,19164.064749772682,44993.71565468294,94117.74614074233,6364.3196945387235,50945.164676197404,0.003959749629616068,0.04160800512688726,0.11224908432239664,0.24472363321322743,0.0864001051450035,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
