time,modulation_synthesize_pERK_DUSP_ERK,tBRAF,tBRAF600E,tCRAF,tRAFi,bound_RAFi,free_RAFi,bound_CRAF,unbound_CRAF,RAS_bound_CRAF,MEK_bound_CRAF,pCRAF,tMEK,pMEK,tMEKi,tERK,pERK,tDUSP,tmDUSP,synthesize_pERK_DUSP_ERK_kmod,msynthesize_pERK_DUSP_ksyn,tBRAF_obs,tCRAF_obs,tMEK_obs,pMEK_obs,pMEK_IF_obs,tERK_obs,pERK_obs,pERK_IF_obs,tDUSP_obs,tmDUSP_obs,pCRAF_obs,bound_CRAF_obs,tBRAF_test,Cell_line,Parameter_set,Drug A,Drug B,Concentration A (uM),Concentration B (uM),Time A (h),Time B (h)
-24.0,0.13365898642933202,0.0020837843851820004,0.0020837843851820004,0.018814720162534854,0.0,0.0,0.0,0.0029937187492330326,0.015821001413301828,0.0,0.01665926519910573,0.01634103072092904,0.1990992507177566,0.05595686207176023,0.0,0.2984551707859112,0.13365898642933202,0.04274211219534831,643.3627748905595,9.655440534174511,879.1897760114246,7.134798646602473,9.335252540898797,11.694416437785508,0.2810500886870979,0.9019585971383428,12.099232730001242,0.44783605550331945,0.9986860265318002,10.155797658377077,6.466708756262268,0.8685237186502731,0.15911577336102656,0.0020837843851820004,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
-23.75,0.13365897267248045,0.0020837843851819397,0.0020837843851819397,0.018814720162532758,0.0,0.0,0.0,0.002993718749232477,0.01582100141330029,0.0,0.016659265199103518,0.016341030497606046,0.19909925071770201,0.055956862071733116,0.0,0.2984551707858785,0.13365897267248045,0.04274211896275035,643.3624905319631,9.655439759854449,879.1897055046176,7.134798646602444,9.335252540898685,11.694416437785232,0.28105008868703873,0.9019585971381704,12.099232730001134,0.4478360094098412,0.998685932744121,10.15579781670808,6.466708314274216,0.8685237067807808,0.15911577336101476,0.0020837843851819397,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
-23.5,0.13365897141608585,0.0020837843851818283,0.0020837843851818283,0.018814720162528734,0.0,0.0,0.0,0.002993718749231407,0.015821001413297335,0.0,0.016659265199098956,0.016341030476532736,0.1990992507175886,0.055956862071692204,0.0,0.2984551707858085,0.13365897141608585,0.04274211949573057,643.362317785402,9.655439689136848,879.1896990653265,7.13479864660239,9.335252540898471,11.694416437784664,0.2810500886869934,0.901958597138038,12.0992327300009,0.4478360052002869,0.9986859241788242,10.155797829177752,6.466708045768379,0.8685237056609229,0.15911577336099192,0.0020837843851818283,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
-23.25,0.1336589724396066,0.0020837843851817073,0.0020837843851817073,0.018814720162524362,0.0,0.0,0.0,0.0029937187492302406,0.015821001413294115,0.0,0.016659265199093942,0.0163410304922925,0.19909925071746418,0.05595686207164898,0.0,0.2984551707857318,0.1336589724396066,0.0427421188936041,643.3621667140386,9.65543974674688,879.1897043110894,7.1347986466023325,9.335252540898239,11.694416437784039,0.2810500886869519,0.9019585971379173,12.099232730000642,0.4478360086297972,0.998685931156944,10.155797815090326,6.466707810952977,0.8685237064987542,0.15911577336096688,0.0020837843851817073,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
-23.0,0.13365897517203418,0.0020837843851816,0.0020837843851816,0.01881472016252115,0.0,0.0,0.0,0.0029937187492293875,0.015821001413291767,0.0,0.016659265199090275,0.016341030535807655,0.19909925071737752,0.05595686207162125,0.0,0.2984551707856791,0.13365897517203418,0.04274211745826665,643.3620621940988,9.655439900544682,879.1897183153654,7.134798646602281,9.335252540898068,11.694416437783604,0.28105008868693493,0.9019585971378679,12.099232730000466,0.44783601778511245,0.998685949785518,10.155797781508989,6.466707648494018,0.8685237088117274,0.15911577336094873,0.0020837843851816,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
-22.75,0.13365897962955636,0.0020837843851815065,0.0020837843851815065,0.01881472016251915,0.0,0.0,0.0,0.00299371874922885,0.015821001413290296,0.0,0.016659265199087975,0.016341030607341125,0.19909925071732926,0.055956862071609166,0.0,0.29845517078565126,0.13365897962955636,0.04274211518182561,643.3620046665415,9.655440151441397,879.1897411611202,7.134798646602236,9.335252540897962,11.69441643778336,0.28105008868694237,0.9019585971378895,12.099232730000372,0.44783603272046996,0.9986859801749042,10.155797728249086,6.466707559076933,0.8685237126138146,0.15911577336093707,0.0020837843851815065,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
-22.5,0.13365898408707852,0.0020837843851814137,0.0020837843851814137,0.018814720162517135,0.0,0.0,0.0,0.0029937187492283125,0.015821001413288828,0.0,0.01665926519908567,0.01634103067887459,0.19909925071728102,0.05595686207159708,0.0,0.29845517078562345,0.13365898408707852,0.04274211290538458,643.3619471389841,9.655440402338106,879.1897640068744,7.134798646602191,9.335252540897855,11.694416437783119,0.28105008868694975,0.901958597137911,12.09923273000028,0.44783604765582724,0.9986860105642902,10.155797674989177,6.46670746965984,0.8685237164159023,0.15911577336092553,0.0020837843851814137,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
-22.25,0.1336589885446007,0.00208378438518132,0.00208378438518132,0.018814720162515123,0.0,0.0,0.0,0.0029937187492277747,0.01582100141328736,0.0,0.01665926519908337,0.016341030750408065,0.19909925071723256,0.055956862071585,0.0,0.2984551707855955,0.1336589885446007,0.04274211062894355,643.3618896114267,9.655440653234816,879.1897868526287,7.134798646602147,9.335252540897748,11.694416437782875,0.2810500886869575,0.9019585971379337,12.099232730000185,0.4478360625911848,0.9986860409536764,10.155797621729267,6.46670738024274,0.8685237202179903,0.15911577336091395,0.00208378438518132,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
-22.0,0.13365899106244944,0.002083784385181391,0.002083784385181391,0.018814720162516733,0.0,0.0,0.0,0.0029937187492282006,0.015821001413288526,0.0,0.016659265199085393,0.0163410307908867,0.19909925071729934,0.05595686207160839,0.0,0.2984551707856371,0.13365899106244944,0.04274210935153857,643.3618717616732,9.655440794954798,879.1897997571418,7.134798646602181,9.335252540897834,11.694416437783211,0.2810500886869807,0.9019585971380013,12.099232730000324,0.44783607102739353,0.9986860581190644,10.155797591842934,6.46670735249824,0.8685237223693503,0.15911577336092297,0.002083784385181391,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
-21.75,0.13365899312456855,0.0020837843851815017,0.0020837843851815017,0.01881472016251915,0.0,0.0,0.0,0.0029937187492288533,0.01582100141329031,0.0,0.01665926519908843,0.016341030824068938,0.19909925071739315,0.05595686207164012,0.0,0.29845517078569483,0.13365899312456855,0.04274210830885885,643.3618632342883,9.655440911023517,879.189810325943,7.134798646602234,9.335252540897962,11.694416437783682,0.28105008868700765,0.9019585971380799,12.099232730000518,0.4478360779366163,0.9986860721774516,10.155797567448262,6.4667073392438255,0.8685237241328704,0.15911577336093724,0.0020837843851815017,A375_sim,13,Vemurafenib,Cobimetinib,0,0,24,24
