time,modulation_synthesize_pERK_DUSP_ERK,tCRAF,tRAS,gdpRAS,gtpRAS,tRAFi,bound_RAFi,free_RAFi,bound_CRAF,unbound_CRAF,active_dimer_CRAF,RAS_bound_CRAF,MEK_bound_CRAF,pCRAF,tMEK,pMEK,tMEKi,tERK,pERK,tDUSP,tmDUSP,tSOS1,pS1134SOS1,uS1134SOS1,synthesize_pERK_DUSP_ERK_kmod,msynthesize_pERK_DUSP_ksyn,tCRAF_obs,tRAS_obs,tMEK_obs,pMEK_percent,tERK_obs,pERK_percent,tDUSP_obs,tmDUSP_obs,gtpRAS_percent,pCRAF_percent,Bound_CRAF_percent,Bound_RAF_percent,Active_CRAF_percent,Active_RAF_percent,tSOS1_obs,pS1134SOS1_obs,Cell_line,Parameter_set,Drug A,Drug B,Concentration A (uM),Concentration B (uM),Time A (h),Time B (h)
-24.0,0.2134188798828815,0.018814719345495976,0.5267654841316599,0.17557385945072307,0.35119162468093723,3.0091774698771866e-20,3.0091774698771866e-20,0.0,0.01486508154668607,0.0039496377988099095,0.01486508154668607,0.01881273463595095,0.0020780057186068086,0.01718545315544624,0.19909924983094568,0.15521663963278065,-6.4068223554150426e-21,0.2984551699101267,0.2134188798828815,0.06117631109294303,920.8369308949481,0.008603602300952933,0.006691200042427863,0.0019124022585250704,13.819731946952997,1258.3752126042489,9.335252497473283,12.667368437919754,11.694416433331392,77.95942966363482,12.099232727066852,71.50785156348537,10.514373031009931,6.825282964004509,66.66944499217801,91.34047040441364,79.00772407877876,79.00772407877876,79.00772407877876,79.00772407877876,8.552793977829532,0.7777207509564624,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
-23.75,0.21341887988405006,0.018814719345495983,0.5267654841316602,0.17557385945061074,0.3511916246810495,3.009315882978982e-20,3.009315882978982e-20,0.0,0.014865081546686037,0.003949637798809951,0.014865081546686037,0.018812734635950953,0.002078005718606827,0.017185453155430252,0.19909924983094526,0.1552166396327801,-2.0654223519696967e-21,0.2984551699101259,0.21341887988405006,0.06117631109354406,920.8369308834834,0.00860360230095295,0.006691200042414232,0.0019124022585387183,13.819731947009592,1258.375212609402,9.335252497473283,12.667368437919755,11.69441643333139,77.9594296636347,12.099232727066848,71.50785156387711,10.514373031019757,6.825282963992059,66.66944499219929,91.34047040432863,79.00772407877855,79.00772407877855,79.00772407877855,79.00772407877855,8.552793977829534,0.7777207509548766,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
-23.5,0.21341887988398117,0.018814719345496028,0.5267654841316601,0.1755738594505572,0.351191624681103,3.009418604481911e-20,3.009418604481911e-20,0.0,0.014865081546686075,0.003949637798809956,0.014865081546686075,0.018812734635950994,0.0020780057186068268,0.017185453155428996,0.19909924983094515,0.15521663963278007,-1.7745756491485958e-21,0.2984551699101253,0.21341887988398117,0.06117631109360307,920.8369308793149,0.008603602300952966,0.006691200042413762,0.0019124022585392017,13.819731947006254,1258.3752126090983,9.335252497473284,12.667368437919755,11.694416433331389,77.95942966363472,12.099232727066846,71.50785156385417,10.514373031020721,6.825282963987532,66.66944499220945,91.34047040432174,79.00772407877858,79.00772407877858,79.00772407877858,79.00772407877858,8.552793977829538,0.7777207509548205,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
-23.25,0.21341887988391228,0.018814719345496066,0.5267654841316606,0.1755738594505037,0.3511916246811566,3.009521325984842e-20,3.009521325984842e-20,0.0,0.014865081546686108,0.0039496377988099615,0.014865081546686108,0.018812734635951036,0.0020780057186068255,0.01718545315542774,0.19909924983094499,0.15521663963278004,-1.4837289463274926e-21,0.2984551699101248,0.21341887988391228,0.06117631109366209,920.8369308751464,0.008603602300952978,0.006691200042413293,0.001912402258539685,13.81973194700292,1258.3752126087945,9.335252497473288,12.667368437919755,11.694416433331389,77.95942966363478,12.099232727066845,71.50785156383122,10.514373031021686,6.825282963983005,66.66944499221958,91.34047040431487,79.00772407877858,79.00772407877858,79.00772407877858,79.00772407877858,8.552793977829538,0.7777207509547649,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
-23.0,0.2134188798838434,0.018814719345496108,0.5267654841316605,0.17557385945045018,0.35119162468121007,3.0096240474877714e-20,3.0096240474877714e-20,0.0,0.014865081546686145,0.003949637798809967,0.014865081546686145,0.018812734635951078,0.002078005718606826,0.017185453155426487,0.19909924983094485,0.15521663963278,-1.1928822435063906e-21,0.29845516991012416,0.2134188798838434,0.0611763110937211,920.8369308709779,0.008603602300952992,0.006691200042412824,0.0019124022585401683,13.819731946999582,1258.3752126084908,9.33525249747329,12.667368437919755,11.694416433331389,77.95942966363482,12.099232727066843,71.50785156380829,10.51437303102265,6.825282963978478,66.66944499222974,91.34047040430801,79.00772407877861,79.00772407877861,79.00772407877861,79.00772407877861,8.55279397782954,0.777720750954709,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
-22.75,0.21341887988377445,0.018814719345496143,0.5267654841316605,0.17557385945039666,0.3511916246812637,3.009726768990702e-20,3.009726768990702e-20,0.0,0.01486508154668618,0.003949637798809972,0.01486508154668618,0.01881273463595111,0.002078005718606824,0.017185453155425225,0.19909924983094474,0.15521663963277998,-9.020355406852893e-22,0.29845516991012355,0.21341887988377445,0.06117631109378012,920.8369308668093,0.008603602300953006,0.006691200042412354,0.0019124022585406519,13.819731946996242,1258.3752126081865,9.335252497473292,12.667368437919755,11.694416433331387,77.95942966363485,12.099232727066841,71.50785156378532,10.514373031023615,6.825282963973951,66.66944499223992,91.34047040430114,79.00772407877864,79.00772407877864,79.00772407877864,79.00772407877864,8.552793977829541,0.7777207509546532,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
-22.5,0.21341887988370556,0.018814719345496188,0.5267654841316602,0.17557385945034315,0.3511916246813171,3.0098294904936307e-20,3.0098294904936307e-20,0.0,0.014865081546686214,0.003949637798809976,0.014865081546686214,0.018812734635951154,0.0020780057186068237,0.017185453155423972,0.19909924983094462,0.15521663963277998,-6.111888378641869e-22,0.2984551699101229,0.21341887988370556,0.06117631109383913,920.8369308626408,0.00860360230095302,0.006691200042411884,0.0019124022585411352,13.819731946992905,1258.3752126078828,9.335252497473293,12.667368437919755,11.694416433331387,77.9594296636349,12.099232727066838,71.5078515637624,10.51437303102458,6.825282963969425,66.66944499225009,91.34047040429427,79.00772407877864,79.00772407877864,79.00772407877864,79.00772407877864,8.552793977829543,0.7777207509545974,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
-22.25,0.21341887988363667,0.01881471934549623,0.5267654841316604,0.17557385945028964,0.3511916246813707,3.009932211996562e-20,3.009932211996562e-20,0.0,0.014865081546686247,0.0039496377988099815,0.014865081546686247,0.018812734635951203,0.0020780057186068224,0.01718545315542272,0.19909924983094449,0.15521663963277993,-3.2034213504308585e-22,0.2984551699101223,0.21341887988363667,0.06117631109389814,920.8369308584723,0.008603602300953033,0.006691200042411415,0.0019124022585416186,13.81973194698957,1258.375212607579,9.335252497473297,12.667368437919755,11.694416433331387,77.95942966363492,12.099232727066836,71.50785156373946,10.514373031025544,6.825282963964898,66.66944499226025,91.3404704042874,79.00772407877864,79.00772407877864,79.00772407877864,79.00772407877864,8.552793977829545,0.7777207509545416,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
-22.0,0.21341887988359384,0.01881471934549627,0.5267654841316604,0.1755738594502557,0.35119162468140475,3.0099817300274095e-20,3.0099817300274095e-20,0.0,0.014865081546686289,0.003949637798809987,0.014865081546686289,0.01881273463595124,0.0020780057186068237,0.01718545315542192,0.19909924983094465,0.15521663963278015,-1.2745158368086294e-22,0.2984551699101221,0.21341887988359384,0.061176311093934996,920.8369308556677,0.008603602300953053,0.0066912000424111315,0.0019124022585419217,13.819731946987497,1258.3752126073903,9.335252497473299,12.667368437919755,11.694416433331387,77.95942966363496,12.099232727066836,71.50785156372517,10.514373031026146,6.825282963961852,66.6694449922667,91.34047040428295,79.0077240787787,79.0077240787787,79.0077240787787,79.0077240787787,8.552793977829547,0.7777207509545069,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
-21.75,0.21341887988360184,0.018814719345496327,0.5267654841316601,0.17557385945025994,0.3511916246814006,3.0099274836928436e-20,3.0099274836928436e-20,0.0,0.014865081546686337,0.003949637798809993,0.014865081546686337,0.018812734635951296,0.0020780057186068268,0.01718545315542202,0.19909924983094526,0.15521663963278073,-1.2560792261820926e-22,0.2984551699101227,0.21341887988360184,0.06117631109392859,920.8369308555228,0.00860360230095308,0.006691200042411208,0.001912402258541873,13.819731946987885,1258.3752126074255,9.3352524974733,12.667368437919755,11.69441643333139,77.95942966363502,12.099232727066838,71.5078515637277,10.514373031026041,6.825282963961694,66.66944499226595,91.34047040428321,79.00772407877871,79.00772407877871,79.00772407877871,79.00772407877871,8.55279397782955,0.7777207509545132,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
