time,modulation_synthesize_pERK_DUSP_ERK,tCRAF,tRAS,gdpRAS,gtpRAS,tRAFi,bound_RAFi,free_RAFi,bound_CRAF,unbound_CRAF,RAS_bound_CRAF,MEK_bound_CRAF,pCRAF,tMEK,pMEK,tMEKi,tERK,pERK,tDUSP,tmDUSP,tSOS1,pS1134SOS1,uS1134SOS1,synthesize_pERK_DUSP_ERK_kmod,msynthesize_pERK_DUSP_ksyn,tCRAF_obs,tRAS_obs,tMEK_obs,pMEK_obs,pMEK_IF_obs,tERK_obs,pERK_obs,pERK_IF_obs,tDUSP_obs,tmDUSP_obs,gtpRAS_obs,pCRAF_obs,bound_CRAF_obs,tSOS1_obs,pS1134SOS1_obs,Cell_line,Parameter_set,Drug A,Drug B,Concentration A (uM),Concentration B (uM),Time A (h),Time B (h)
-24.0,0.15821823197948462,0.018814719120207678,0.5267654864362409,0.13627852570967533,0.39048696072656497,0.0,0.0,0.0,0.003048662847948704,0.015766056272258973,0.013441705334591166,0.013501894813165162,0.013980060188805618,0.1990992497302452,0.07971194352628036,4.3130112240920405e-17,0.29845516971760166,0.15821823197948462,0.04871772950691741,733.3081010866921,0.008603602300954506,0.006215274422591254,0.002388327878363251,11.005337700601043,1002.1065692109039,9.335252485499238,12.66736844229472,11.694416432825612,0.40036285236775204,1.2496799011801865,12.099232726421778,0.530123945010538,1.1661194784719198,10.286656009488622,6.597565942477286,0.7412918476651736,0.7430384742651053,0.16203605424405892,8.552793977829715,0.7224037333643043,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-23.75,0.15821823198187243,0.01881471911982304,0.5267654864369045,0.13627852570917398,0.39048696072773004,0.0,0.0,0.0,0.0030486628479085625,0.015766056271914478,0.0134417053343442,0.013501894812840209,0.013980060188498178,0.1990992497298831,0.07971194352478923,2.349909058853376e-17,0.2984551697173002,0.15821823198187243,0.048717729507270054,733.308101080479,0.008603602300954532,0.006215274422614234,0.0023883278783402985,11.005337700729207,1002.1065692225741,9.335252485478794,12.66736844229598,11.694416432823793,0.40036285236099084,1.2496799011604818,12.09923272642077,0.530123945019074,1.1661194784892883,10.28665600949586,6.597565942468814,0.7412918476664515,0.7430384742639552,0.16203605424523798,8.552793977829719,0.722403733366973,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-23.5,0.1582182319801978,0.01881471911941038,0.5267654864381683,0.13627852570856425,0.3904869607296037,0.0,0.0,0.0,0.0030486628478380066,0.015766056271572373,0.013441705334073394,0.013501894812569032,0.013980060188178002,0.19909924972947848,0.07971194352357502,1.856233366139909e-17,0.2984551697169574,0.1582182319801978,0.048717729507321936,733.3081010744017,0.008603602300954478,0.006215274422596267,0.0023883278783582104,11.005337700639322,1002.1065692143894,9.335252485456861,12.667368442298379,11.694416432821761,0.40036285235570596,1.2496799011450797,12.09923272641962,0.5301239450140718,1.1661194784791102,10.286656009496927,6.597565942460526,0.7412918476682299,0.7430384742632348,0.16203605424504186,8.552793977829714,0.7224037333648893,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-23.25,0.15821823197852314,0.018814719118997708,0.526765486439433,0.13627852570795454,0.39048696073147765,0.0,0.0,0.0,0.0030486628477674475,0.015766056271230264,0.013441705333802586,0.013501894812297863,0.013980060187857824,0.1990992497290738,0.0797119435223608,1.3625576734264432e-17,0.29845516971661473,0.15821823197852314,0.048717729507373804,733.3081010683246,0.008603602300954421,0.0062152744225783,0.002388327878376122,11.005337700549434,1002.1065692062045,9.335252485434928,12.66736844230078,11.694416432819729,0.40036285235042113,1.2496799011296775,12.099232726418473,0.5301239450090693,1.1661194784689317,10.28665600949799,6.597565942452238,0.7412918476700077,0.7430384742625148,0.16203605424484566,8.552793977829706,0.7224037333628058,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-23.0,0.1582182319768485,0.01881471911858505,0.5267654864406971,0.13627852570734486,0.39048696073335143,0.0,0.0,0.0,0.0030486628476968903,0.015766056270888156,0.013441705333531779,0.013501894812026691,0.013980060187537655,0.19909924972866916,0.07971194352114659,8.688819807129783e-18,0.29845516971627195,0.1582182319768485,0.04871772950742567,733.3081010622474,0.008603602300954367,0.006215274422560333,0.0023883278783940337,11.005337700459549,1002.1065691980199,9.335252485412996,12.66736844230318,11.694416432817697,0.4003628523451363,1.2496799011142758,12.099232726417323,0.5301239450040672,1.1661194784587539,10.286656009499055,6.597565942443951,0.7412918476717859,0.7430384742617948,0.16203605424464945,8.5527939778297,0.722403733360722,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-22.75,0.15821823197523552,0.018814719118185285,0.5267654864420757,0.13627852570683335,0.3904869607352416,0.0,0.0,0.0,0.003048662847628211,0.015766056270557074,0.013441705333269945,0.013501894811764425,0.013980060187227876,0.19909924972828172,0.0797119435199681,4.03191639296561e-18,0.29845516971593933,0.15821823197523552,0.04871772950746618,733.3081010563817,0.00860360230095431,0.006215274422543023,0.0023883278784112877,11.005337700372971,1002.1065691901365,9.335252485391747,12.667368442305797,11.69441643281575,0.4003628523399963,1.2496799010992958,12.09923272641621,0.5301239449992536,1.1661194784489592,10.286656009499886,6.597565942435952,0.7412918476734341,0.7430384742611177,0.162036054244442,8.552793977829692,0.7224037333587149,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-22.5,0.15821823197462886,0.018814719117996124,0.52676548644532,0.13627852570792423,0.3904869607373951,0.0,0.0,0.0,0.0030486628475901857,0.015766056270405945,0.013441705333154537,0.013501894811647468,0.013980060187087785,0.1990992497281743,0.07971194351937272,3.942816022041885e-18,0.29845516971577024,0.15821823197462886,0.048717729507321075,733.308101053971,0.008603602300954243,0.006215274422536438,0.0023883278784178038,11.005337700340409,1002.1065691871714,9.335252485381693,12.667368442311956,11.69441643281521,0.4003628523372219,1.2496799010912103,12.099232726415643,0.5301239449975212,1.1661194784454345,10.286656009496909,6.597565942432665,0.7412918476729567,0.7430384742611423,0.16203605424405007,8.552793977829685,0.7224037333579552,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-22.25,0.15821823197402224,0.018814719117806977,0.5267654864485645,0.13627852570901508,0.3904869607395487,0.0,0.0,0.0,0.0030486628475521606,0.015766056270254816,0.013441705333039124,0.013501894811530512,0.013980060186947698,0.1990992497280668,0.07971194351877733,3.853715651118153e-18,0.2984551697156013,0.15821823197402224,0.04871772950717597,733.3081010515601,0.008603602300954173,0.006215274422529854,0.00238832787842432,11.00533770030785,1002.1065691842067,9.33525248537164,12.667368442318114,11.694416432814672,0.4003628523344477,1.2496799010831252,12.099232726415076,0.5301239449957887,1.166119478441909,10.28665600949393,6.597565942429377,0.7412918476724792,0.7430384742611665,0.162036054243658,8.552793977829676,0.7224037333571957,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-22.0,0.15821823197341564,0.01881471911761783,0.5267654864518088,0.13627852571010596,0.3904869607417021,0.0,0.0,0.0,0.003048662847514135,0.015766056270103686,0.013441705332923718,0.01350189481141356,0.013980060186807614,0.19909924972795942,0.07971194351818195,3.764615280194429e-18,0.29845516971543223,0.15821823197341564,0.04871772950703086,733.3081010491493,0.008603602300954106,0.00621527442252327,0.002388327878430836,11.005337700275291,1002.1065691812421,9.335252485361588,12.667368442324275,11.694416432814132,0.40036285233167324,1.2496799010750395,12.09923272641451,0.5301239449940567,1.1661194784383848,10.286656009490951,6.5975659424260895,0.7412918476720016,0.743038474261191,0.16203605424326592,8.552793977829669,0.722403733356436,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-21.75,0.15821823197280901,0.018814719117428665,0.5267654864550531,0.13627852571119686,0.39048696074385575,0.0,0.0,0.0,0.0030486628474761103,0.015766056269952557,0.013441705332808312,0.013501894811296601,0.013980060186667522,0.19909924972785195,0.07971194351758655,3.6755149092706966e-18,0.29845516971526337,0.15821823197280901,0.04871772950688576,733.3081010467384,0.008603602300954038,0.0062152744225166855,0.002388327878437352,11.00533770024273,1002.1065691782773,9.335252485351534,12.667368442330433,11.694416432813592,0.4003628523288989,1.249679901066954,12.099232726413945,0.5301239449923241,1.1661194784348596,10.286656009487972,6.5975659424228015,0.7412918476715246,0.7430384742612157,0.16203605424287404,8.552793977829662,0.7224037333556765,A375_sim,13,Vemurafenib,Cobimetinib,0,0.5,24,24
